source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc
sweep,3,10.0,4,False,counter-factual,-0.0625,0,0.0,0.3349403529092492,4.626109807340609,False,0,False,-3.125,
sweep,3,10.0,5,False,counter-factual,-0.203125,0,0.0,0.31457733239123825,4.11230482605231,False,0,False,-3.125,
sweep,3,10.0,6,False,counter-factual,-0.5625,0,0.0,0.7626198230407568,7.583648305467435,False,0,False,-3.125,
sweep,3,10.0,7,True,ground-truth,-0.125,0,0.0,0.3352405391817045,5.327148112278901,False,0,False,-3.125,
sweep,3,10.0,8,False,counter-factual,-0.1875,0,0.0,0.7367890810174976,8.345504440643953,False,0,False,-3.125,
sweep,3,10.0,9,False,counter-factual,-0.015625,0,0.0,0.4935607350211387,5.556971132107612,False,0,False,-3.125,
sweep,4,10.0,0,False,counter-factual,-5.875,0,0.0,1.5872400756161664,15.34371502648415,True,1,True,-19.5,
sweep,4,10.0,1,False,counter-factual,-1.875,0,0.0,1.1049744852355998,9.326136520569637,False,1,True,-19.5,
sweep,4,10.0,2,True,ground-truth,-21.75,1,0.0,1.257664116808837,12.595564409880776,True,1,True,-19.5,
sweep,4,10.0,3,False,counter-factual,-11.125,0,0.0,1.304102705785648,13.431817827505563,True,1,True,-19.5,
sweep,5,10.0,0,False,counter-factual,-0.19921875,-1,0.0,1.2947748777910733,9.00285147037632,True,0,False,-0.94140625,
sweep,5,10.0,1,False,counter-factual,0.19140625,0,0.0,0.47977513654414167,5.1885566545568125,False,0,False,-0.94140625,
sweep,5,10.0,2,False,counter-factual,0.2421875,0,0.0,0.46695874979433305,4.820769290799802,False,0,False,-0.94140625,
sweep,5,10.0,3,False,counter-factual,-0.30078125,-1,0.0,1.2489227520538098,8.266728994866428,True,0,False,-0.94140625,
sweep,5,10.0,4,False,counter-factual,0.00390625,0,0.0,1.2240579138609604,8.080056195722955,False,0,False,-0.94140625,
sweep,5,10.0,5,False,counter-factual,0.1484375,0,0.0,1.2538164800053173,8.28443277769878,False,0,False,-0.94140625,
sweep,5,10.0,6,False,counter-factual,0.0078125,-1,0.0,1.2370024389795609,7.786491349593675,True,0,False,-0.94140625,
sweep,5,10.0,7,True,ground-truth,-0.64453125,0,0.0,1.2180620015700105,7.666918028372217,False,0,False,-0.94140625,
sweep,5,10.0,8,False,counter-factual,-0.33984375,0,0.0,1.2564324810681258,8.143928153465401,False,0,False,-0.94140625,
sweep,5,10.0,9,False,counter-factual,-0.52734375,-1,0.0,1.265202367004551,8.45908688139969,True,0,False,-0.94140625,
sweep,6,10.0,0,False,counter-factual,-8.375,0,0.0,1.0969946550998757,10.444636509290198,True,1,True,-7.625,
sweep,6,10.0,1,False,counter-factual,-2.1875,0,0.0,0.6048987658177695,6.853171195985165,True,1,True,-7.625,
